Date,Open,High,Low,Close,Adj Close,Volume
2009-12-31,15.27,15.34,15.13,15.13,11.137445,44531600
2010-01-04,15.22,15.64,15.15,15.45,11.373002,67079900
2010-01-05,15.46,15.67,15.45,15.53,11.43189,64550600
2010-01-06,15.53,15.62,15.44,15.45,11.373002,55464900
2010-01-07,15.48,16.48,15.43,16.25,11.961898,185472300
2010-01-08,16.309999,16.690001,16.27,16.6,12.219536,115112600
2010-01-11,16.83,16.879999,16.540001,16.76,12.33731,76675400
2010-01-12,16.58,16.84,16.57,16.77,12.344674,64622800
2010-01-13,16.76,16.92,16.57,16.83,12.388843,65342400
2010-01-14,16.790001,16.870001,16.68,16.700001,12.293146,57361500
2010-01-15,16.68,16.75,16.35,16.440001,12.101754,74108100
2010-01-19,16.35,16.75,16.34,16.540001,12.175368,60697400
2010-01-20,16.5,16.68,16.33,16.5,12.145926,64495600
2010-01-21,16.469999,16.48,15.95,16.02,11.792591,99151200
2010-01-22,16.549999,16.76,16.09,16.110001,11.858839,162677700
2010-01-25,16.459999,16.530001,16.219999,16.370001,12.050231,75160400
2010-01-26,16.33,16.700001,16.26,16.35,12.035507,78017000
2010-01-27,16.290001,16.389999,16.030001,16.299999,11.9987,76850600
2010-01-28,16.43,16.450001,16.01,16.16,11.895642,79136000
2010-01-29,16.219999,16.5,16.07,16.08,11.836756,81158600
2010-02-01,16.200001,16.34,16.1,16.25,11.961898,56940500
2010-02-02,16.27,16.950001,16.24,16.85,12.403563,115749400
2010-02-03,16.790001,17.030001,16.620001,16.68,12.278424,70778200
2010-02-04,16.48,16.5,16.01,16.040001,11.807312,110099200
2010-02-05,16.040001,16.190001,15.25,15.79,11.623281,143503200
2010-02-08,15.83,15.84,15.47,15.6,11.483419,70487000
2010-02-09,15.76,15.89,15.43,15.6,11.483419,97580300
2010-02-10,15.57,15.87,15.5,15.69,11.549666,68377100
2010-02-11,15.62,15.79,15.48,15.77,11.608558,66896700
2010-02-12,15.59,15.75,15.35,15.55,11.446613,76503100
2010-02-16,15.7,16.120001,15.68,16.040001,11.807312,69444800
2010-02-17,16.190001,16.219999,16.059999,16.15,11.888284,60553900
2010-02-18,16.1,16.290001,16.08,16.24,11.954534,47333500
2010-02-19,16.139999,16.25,16,16.17,11.903007,65201600
2010-02-22,16.23,16.34,16.16,16.25,11.961898,44988000
2010-02-23,16.190001,16.32,15.86,15.95,11.741057,63371100
2010-02-24,15.98,16.139999,15.88,16.120001,11.866199,56650600
2010-02-25,15.76,15.95,15.71,15.92,11.792129,63364500
2010-02-26,16,16.15,15.95,16.059999,11.895828,60564400
2010-03-01,16.1,16.15,15.83,15.9,11.777312,62798300
2010-03-02,15.92,15.95,15.83,15.9,11.777312,52587600
2010-03-03,15.98,16.290001,15.95,16.030001,11.873605,83817400
2010-03-04,16.07,16.16,15.97,16.110001,11.932864,47132200
2010-03-05,16.190001,16.370001,16.15,16.35,12.110635,65183900
2010-03-08,16.370001,16.469999,16.24,16.27,12.051376,53676900
2010-03-09,16.299999,16.620001,16.25,16.49,12.214335,83685600
2010-03-10,16.49,16.610001,16.42,16.51,12.229148,67843400
2010-03-11,16.49,16.549999,16.32,16.48,12.206925,64905500
2010-03-12,16.59,17.059999,16.5,17.040001,12.621722,112875400
2010-03-15,17.02,17.35,16.940001,17.290001,12.806905,117951100
2010-03-16,17.49,18.16,17.450001,18.07,13.384662,228571100
2010-03-17,18.32,18.4,17.969999,18.040001,13.362438,160499800
2010-03-18,18.09,18.26,17.91,18.190001,13.473545,88515400
2010-03-19,18.07,18.34,17.93,18.07,13.384662,114796600
2010-03-22,17.860001,18.129999,17.799999,18.07,13.384662,64940700
2010-03-23,18.16,18.450001,18.15,18.33,13.577243,107580100
2010-03-24,18.360001,18.940001,18.27,18.450001,13.666127,124241100
2010-03-25,18.709999,18.76,18.26,18.299999,13.55502,97668400
2010-03-26,18.32,18.629999,18.18,18.34,13.584651,84380500
2010-03-29,18.52,18.559999,18.25,18.4,13.629093,83916800
2010-03-30,18.469999,18.48,18.25,18.299999,13.55502,53168700
2010-03-31,18.209999,18.360001,18.129999,18.200001,13.480951,59216500
2010-04-01,18.27,18.4,18.18,18.33,13.577243,45478000
2010-04-05,18.42,18.65,18.33,18.530001,13.725387,55879400
2010-04-06,18.450001,18.65,18.41,18.6,13.777237,54106500
2010-04-07,18.57,18.75,18.389999,18.5,13.703164,60464200
2010-04-08,18.389999,18.65,18.25,18.559999,13.747608,60592900
2010-04-09,18.59,18.67,18.4,18.52,13.717976,54612700
2010-04-12,18.559999,18.98,18.540001,18.709999,13.858715,71700500
2010-04-13,18.75,19.129999,18.719999,18.950001,14.036484,92585100
2010-04-14,19.209999,19.4,19.01,19.35,14.332772,81959000
2010-04-15,19.450001,19.690001,19.370001,19.5,14.443876,103121900
2010-04-16,19.440001,19.450001,18.65,18.969999,14.051298,172374900
2010-04-19,18.639999,18.969999,18.639999,18.940001,14.029078,78156200
2010-04-20,19.040001,19.200001,18.98,19,14.073517,57666500
2010-04-21,19.1,19.18,18.889999,19.030001,14.095742,58407000
2010-04-22,18.91,19.01,18.610001,18.950001,14.036484,73044600
2010-04-23,18.860001,19.1,18.799999,19.07,14.12537,57777500
2010-04-26,19.190001,19.370001,19.1,19.299999,14.295737,65712900
2010-04-27,19.24,19.49,18.59,18.700001,13.851311,109629100
2010-04-28,18.67,19.09,18.65,18.950001,14.036484,85006400
2010-04-29,19.040001,19.49,19.030001,19.49,14.43647,70066400
2010-04-30,19.459999,19.700001,18.790001,18.860001,13.969819,112133100
2010-05-03,18.969999,19.34,18.959999,19.26,14.266107,60157700
2010-05-04,19.059999,19.07,18.35,18.58,13.762424,94123700
2010-05-05,18.219999,18.49,17.93,18.1,13.406881,106999600
2010-05-06,18,18.15,15.15,17.309999,12.821712,182122800
2010-05-07,17.51,17.690001,16.52,16.879999,12.503211,165465900
2010-05-10,18.040001,18.370001,17.879999,18.040001,13.362438,138171300
2010-05-11,17.85,18.34,17.82,18,13.332807,83503800
2010-05-12,18.09,18.5,18.07,18.440001,13.658719,67907500
2010-05-13,18.41,18.43,17.959999,18.049999,13.369845,64312600
